timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1780138305492,1409,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-2,text,true,,743,263,9,9,https://restful-booker.herokuapp.com/ping,1408,0,1177
1780138306626,950,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-4,text,true,,743,263,10,10,https://restful-booker.herokuapp.com/ping,950,0,726
1780138306988,1015,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-1,text,true,,743,263,11,11,https://restful-booker.herokuapp.com/ping,1014,0,781
1780138307424,941,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-3,text,true,,743,263,12,12,https://restful-booker.herokuapp.com/ping,940,0,724
1780138307747,950,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-5,text,true,,747,263,12,12,https://restful-booker.herokuapp.com/ping,950,0,720
1780138308903,944,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-6,text,true,,747,263,14,14,https://restful-booker.herokuapp.com/ping,944,0,726
1780138309376,964,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-7,text,true,,747,263,15,15,https://restful-booker.herokuapp.com/ping,964,0,732
1780138310657,232,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-4,text,true,,774,341,16,16,https://restful-booker.herokuapp.com/auth,232,0,0
1780138310445,1041,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-10,text,true,,751,263,17,17,https://restful-booker.herokuapp.com/ping,1041,0,814
1780138311469,223,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-2,text,true,,774,341,17,17,https://restful-booker.herokuapp.com/auth,223,0,0
1780138311032,939,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-8,text,true,,751,263,17,17,https://restful-booker.herokuapp.com/ping,939,0,720
1780138312457,222,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-5,text,true,,782,341,18,18,https://restful-booker.herokuapp.com/auth,222,0,0
1780138312601,1003,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-9,text,true,,759,263,20,20,https://restful-booker.herokuapp.com/ping,1003,0,755
1780138312676,928,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-11,text,true,,759,263,20,20,https://restful-booker.herokuapp.com/ping,928,0,697
1780138312798,975,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-14,text,true,,751,263,20,20,https://restful-booker.herokuapp.com/ping,974,0,721
1780138313548,231,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-1,text,true,,774,341,20,20,https://restful-booker.herokuapp.com/auth,231,0,0
1780138314284,225,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-3,text,true,,774,341,22,22,https://restful-booker.herokuapp.com/auth,225,0,0
1780138314520,243,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-7,text,true,,770,341,22,22,https://restful-booker.herokuapp.com/auth,243,0,0
1780138313891,958,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-12,text,true,,747,263,22,22,https://restful-booker.herokuapp.com/ping,958,0,740
1780138314674,237,03 - Get All Bookings,200,OK,API Load Test - CLI (200 Users) 1-4,text,true,,743,296,22,22,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,237,0,0
1780138314671,938,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-13,text,true,,747,263,23,23,https://restful-booker.herokuapp.com/ping,938,0,719
1780138315428,234,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-6,text,true,,774,341,23,23,https://restful-booker.herokuapp.com/auth,234,0,0
1780138314754,962,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-16,text,true,,751,263,24,24,https://restful-booker.herokuapp.com/ping,962,0,742
1780138316038,232,03 - Get All Bookings,200,OK,API Load Test - CLI (200 Users) 1-5,text,true,,747,296,25,25,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,232,0,0
1780138315300,981,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-15,text,true,,751,263,25,25,https://restful-booker.herokuapp.com/ping,981,0,751
1780138316207,223,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-10,text,true,,774,341,25,25,https://restful-booker.herokuapp.com/auth,223,0,0
1780138316249,246,03 - Get All Bookings,200,OK,API Load Test - CLI (200 Users) 1-2,text,true,,747,296,25,25,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,245,0,0
1780138316453,234,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-8,text,true,,770,341,25,25,https://restful-booker.herokuapp.com/auth,234,0,0
1780138317095,237,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-11,text,true,,770,341,26,26,https://restful-booker.herokuapp.com/auth,237,0,0
1780138316370,1221,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-19,text,true,,747,263,27,27,https://restful-booker.herokuapp.com/ping,1221,0,954
1780138316774,1071,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-17,text,true,,747,263,27,27,https://restful-booker.herokuapp.com/ping,1071,0,846
1780138316945,975,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-21,text,true,,747,263,27,27,https://restful-booker.herokuapp.com/ping,975,0,759
1780138317806,234,03 - Get All Bookings,200,OK,API Load Test - CLI (200 Users) 1-1,text,true,,743,296,27,27,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,234,0,0
1780138317925,241,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-9,text,true,,770,341,28,28,https://restful-booker.herokuapp.com/auth,241,0,0
1780138318203,240,04 - Create Booking,200,OK,API Load Test - CLI (200 Users) 1-4,text,true,,956,555,28,28,https://restful-booker.herokuapp.com/booking,240,0,0
1780138317616,986,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-20,text,true,,747,263,28,28,https://restful-booker.herokuapp.com/ping,986,0,749
1780138317783,1002,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-18,text,true,,747,263,29,29,https://restful-booker.herokuapp.com/ping,1001,0,751
1780138318677,225,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-14,text,true,,770,341,29,29,https://restful-booker.herokuapp.com/auth,225,0,0
1780138319150,229,03 - Get All Bookings,200,OK,API Load Test - CLI (200 Users) 1-7,text,true,,743,296,30,30,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,229,0,0
1780138319312,210,03 - Get All Bookings,200,OK,API Load Test - CLI (200 Users) 1-3,text,true,,743,296,30,30,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,210,0,0
1780138319562,226,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-13,text,true,,778,341,31,31,https://restful-booker.herokuapp.com/auth,226,0,0
1780138319049,1007,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-24,text,true,,755,263,31,31,https://restful-booker.herokuapp.com/ping,1006,0,779
1780138319136,993,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-23,text,true,,755,263,31,31,https://restful-booker.herokuapp.com/ping,993,0,745
1780138320393,239,04 - Create Booking,200,OK,API Load Test - CLI (200 Users) 1-5,text,true,,964,555,32,32,https://restful-booker.herokuapp.com/booking,239,0,0
1780138320398,238,03 - Get All Bookings,200,OK,API Load Test - CLI (200 Users) 1-6,text,true,,751,296,32,32,https://restful-booker.herokuapp.com/booking?firstname=John&lastname=Doe,238,0,0
1780138320452,245,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-15,text,true,,778,341,32,32,https://restful-booker.herokuapp.com/auth,245,0,0
1780138319775,977,01 - Health Check,201,Created,API Load Test - CLI (200 Users) 1-22,text,true,,755,263,32,32,https://restful-booker.herokuapp.com/ping,977,0,740
1780138320642,231,02 - Get Auth Token,200,OK,API Load Test - CLI (200 Users) 1-16,text,true,,778,341,32,32,https://restful-booker.herokuapp.com/auth,231,0,0
